ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_del_Prestamo;Plazo_del_Prestamo;Tasa_de_Interes;Deuda_Existente;Numero_de_Dependientes;Estado_Laboral;Proposito_del_Prestamo;Estado_Civil;Nivel_de_Educacion;Score_de_Riesgo_Interno;Resultado_del_Riesgo;Periodo
62;41;$50,904.00;Regular;$8,327.00;13;5.4%;$32,666.00;0;Autónomo;Auto;Divorciado;Universidad;839;1;2022-05
63;22;$72,081.00;Malo;$32,406.00;7;8.1%;$28,711.00;1;Empleado;Vivienda;Divorciado;Doctorado;779;1;2022-05
64;61;$78,223.00;Malo;$17,157.00;23;8.5%;$28,881.00;5;Autónomo;Emergencia;Casado;Doctorado;755;1;2022-08
65;38;$25,309.00;Regular;$33,175.00;29;11.9%;$30,486.00;2;Autónomo;Otros;Divorciado;Universidad;818;1;2022-01
66;41;$97,998.00;Regular;$44,988.00;14;12.2%;$43,208.00;2;Empleado;Emergencia;Casado;Universidad;628;1;2022-08
67;26;$64,492.00;Regular;$10,847.00;35;5.5%;$23,088.00;0;Empleado;Educación;Divorciado;Universidad;627;1;2022-04
68;45;$74,680.00;Regular;$32,369.00;8;5.0%;$15,287.00;2;Desempleado;Educación;Casado;Universidad;598;1;2022-02
69;20;$69,003.00;Malo;$14,064.00;31;7.4%;$11,213.00;1;Autónomo;Auto;Soltero;Doctorado;514;1;2022-12
70;47;$71,057.00;Regular;$10,063.00;14;6.0%;$46,746.00;0;Autónomo;Otros;Divorciado;Maestría;611;1;2022-01
71;31;$67,144.00;Regular;$45,074.00;35;12.7%;$4,767.00;3;Desempleado;Educación;Divorciado;Preparatoria;768;1;2022-09
72;38;$29,905.00;Regular;$25,054.00;26;11.5%;$39,757.00;1;Desempleado;Educación;Soltero;Universidad;794;1;2022-10
73;29;$80,159.00;Bueno;$15,641.00;7;7.0%;$36,394.00;3;Desempleado;Auto;Divorciado;Preparatoria;665;1;2022-05
74;26;$22,377.00;Bueno;$7,633.00;27;7.3%;$9,834.00;0;Empleado;Auto;Casado;Preparatoria;553;1;2022-06
75;20;$98,617.00;Malo;$31,205.00;35;12.2%;$2,754.00;0;Autónomo;Educación;Divorciado;Universidad;823;1;2022-10
76;49;$81,708.00;Regular;$22,373.00;16;11.6%;$23,880.00;4;Desempleado;Otros;Divorciado;Preparatoria;818;1;2022-08
77;59;$72,461.00;Regular;$22,712.00;34;10.3%;$43,593.00;4;Empleado;Vivienda;Divorciado;Maestría;584;1;2022-07
78;46;$67,876.00;Regular;$17,742.00;9;9.9%;$6,753.00;1;Autónomo;Otros;Soltero;Universidad;591;1;2022-05
79;22;$90,638.00;Regular;$45,291.00;10;13.3%;$21,788.00;4;Empleado;Vivienda;Divorciado;Preparatoria;788;1;2022-07
80;39;$22,728.00;Regular;$18,049.00;14;8.4%;$8,748.00;4;Autónomo;Emergencia;Divorciado;Maestría;648;1;2022-01
81;46;$43,162.00;Malo;$28,223.00;30;10.4%;$39,810.00;2;Autónomo;Otros;Divorciado;Universidad;686;1;2022-01
82;38;$36,177.00;Malo;$41,449.00;18;14.8%;$30,402.00;3;Autónomo;Emergencia;Soltero;Universidad;584;1;2022-11
83;19;$82,012.00;Regular;$5,899.00;35;6.4%;$15,902.00;2;Autónomo;Vivienda;Divorciado;Universidad;813;1;2022-01
84;34;$31,125.00;Malo;$2,067.00;26;5.1%;$16,268.00;3;Autónomo;Educación;Casado;Universidad;770;1;2022-10
85;19;$73,059.00;Regular;$44,725.00;20;14.9%;$44,908.00;1;Empleado;Emergencia;Divorciado;Doctorado;839;1;2022-10
86;39;$70,071.00;Bueno;$7,536.00;20;6.1%;$31,218.00;5;Autónomo;Vivienda;Casado;Preparatoria;600;1;2022-12
87;46;$46,026.00;Bueno;$21,707.00;20;13.3%;$22,941.00;4;Empleado;Educación;Soltero;Doctorado;656;1;2022-10
88;18;$81,183.00;Bueno;$31,140.00;8;12.2%;$28,648.00;5;Desempleado;Vivienda;Casado;Universidad;605;1;2022-09
89;46;$27,480.00;Regular;$47,426.00;13;10.3%;$24,725.00;4;Desempleado;Educación;Casado;Preparatoria;706;1;2022-06
90;46;$72,365.00;Regular;$9,054.00;25;10.5%;$19,402.00;5;Empleado;Otros;Casado;Preparatoria;773;1;2022-05
91;39;$63,198.00;Bueno;$39,340.00;22;14.4%;$11,377.00;2;Empleado;Emergencia;Soltero;Maestría;794;1;2022-10
92;28;$92,944.00;Bueno;$5,502.00;18;6.3%;$14,260.00;0;Desempleado;Otros;Soltero;Universidad;696;1;2022-05
93;48;$51,056.00;Malo;$32,756.00;10;13.4%;$5,976.00;3;Autónomo;Educación;Divorciado;Doctorado;791;1;2022-01
94;38;$29,586.00;Bueno;$45,307.00;26;13.8%;$47,313.00;0;Desempleado;Auto;Casado;Preparatoria;830;1;2022-05
95;40;$84,880.00;Bueno;$48,135.00;20;9.6%;$43,028.00;3;Empleado;Emergencia;Soltero;Doctorado;624;1;2022-03
96;49;$52,527.00;Regular;$41,014.00;23;12.3%;$40,063.00;2;Desempleado;Otros;Divorciado;Doctorado;675;1;2022-11
97;62;$39,608.00;Malo;$25,666.00;31;7.8%;$49,713.00;4;Desempleado;Educación;Casado;Maestría;705;1;2022-11
98;18;$52,273.00;Bueno;$13,125.00;21;6.8%;$12,774.00;0;Desempleado;Auto;Soltero;Doctorado;741;1;2022-04
99;54;$83,463.00;Regular;$33,733.00;24;14.0%;$13,932.00;3;Desempleado;Educación;Casado;Doctorado;814;1;2022-11
100;34;$81,896.00;Regular;$19,155.00;24;10.3%;$26,368.00;2;Desempleado;Vivienda;Divorciado;Maestría;726;1;2022-04
101;23;$47,444.00;Regular;$49,518.00;22;7.4%;$27,188.00;5;Desempleado;Educación;Soltero;Preparatoria;564;1;2022-05
102;27;$75,033.00;Bueno;$5,470.00;16;13.8%;$21,722.00;4;Autónomo;Emergencia;Casado;Preparatoria;770;1;2022-10
103;18;$51,939.00;Bueno;$36,357.00;6;10.8%;$6,262.00;2;Autónomo;Otros;Soltero;Doctorado;786;1;2022-03
104;51;$67,224.00;Malo;$22,019.00;18;5.1%;$44,475.00;3;Empleado;Emergencia;Soltero;Doctorado;829;1;2022-03
105;55;$72,291.00;Regular;$13,764.00;6;7.9%;$25,108.00;3;Empleado;Emergencia;Soltero;Preparatoria;613;1;2022-07
106;56;$49,779.00;Malo;$30,824.00;6;14.7%;$28,262.00;2;Empleado;Otros;Soltero;Universidad;781;1;2022-01
107;44;$22,834.00;Regular;$31,215.00;10;10.9%;$43,647.00;2;Autónomo;Auto;Soltero;Universidad;739;1;2022-11
108;43;$34,563.00;Bueno;$16,624.00;22;11.3%;$14,826.00;3;Autónomo;Auto;Divorciado;Preparatoria;508;1;2022-06
109;46;$88,429.00;Regular;$16,837.00;24;14.4%;$22,562.00;5;Autónomo;Auto;Divorciado;Universidad;657;1;2022-12
110;52;$26,976.00;Regular;$28,241.00;19;7.3%;$6,133.00;5;Desempleado;Emergencia;Divorciado;Doctorado;695;1;2022-01
111;38;$46,536.00;Malo;$11,427.00;7;13.6%;$6,086.00;1;Autónomo;Educación;Divorciado;Doctorado;751;1;2022-01
112;54;$96,824.00;Regular;$11,597.00;36;13.6%;$39,491.00;4;Empleado;Otros;Soltero;Universidad;753;1;2022-12
113;47;$67,927.00;Malo;$2,169.00;14;10.4%;$10,536.00;1;Empleado;Emergencia;Divorciado;Universidad;733;1;2022-08
114;20;$57,027.00;Bueno;$26,761.00;33;6.1%;$21,826.00;4;Desempleado;Auto;Soltero;Maestría;611;1;2022-02
115;26;$35,503.00;Malo;$5,761.00;23;14.8%;$18,833.00;4;Autónomo;Educación;Divorciado;Preparatoria;519;1;2022-01
116;42;$53,881.00;Regular;$17,639.00;14;10.0%;$1,943.00;0;Desempleado;Vivienda;Soltero;Doctorado;827;1;2022-11
117;48;$67,106.00;Regular;$8,896.00;7;13.2%;$14,214.00;5;Autónomo;Vivienda;Divorciado;Preparatoria;697;1;2022-04
118;31;$77,243.00;Regular;$47,263.00;12;7.4%;$5,719.00;0;Autónomo;Auto;Soltero;Universidad;532;1;2022-08
119;64;$38,878.00;Regular;$43,869.00;26;8.9%;$25,511.00;3;Autónomo;Emergencia;Soltero;Preparatoria;580;1;2022-05
120;34;$40,792.00;Regular;$31,481.00;11;8.0%;$711.00;0;Empleado;Otros;Soltero;Universidad;568;1;2022-10
121;45;$30,304.00;Malo;$23,551.00;18;7.4%;$10,266.00;3;Autónomo;Vivienda;Divorciado;Preparatoria;713;1;2022-10
122;22;$54,910.00;Regular;$7,657.00;33;14.3%;$47,730.00;2;Empleado;Educación;Soltero;Preparatoria;849;1;2022-08
123;29;$76,573.00;Regular;$36,310.00;21;11.7%;$9,017.00;0;Autónomo;Emergencia;Soltero;Universidad;712;1;2022-11
124;28;$91,442.00;Bueno;$41,760.00;18;12.0%;$8,853.00;0;Empleado;Auto;Casado;Preparatoria;525;1;2022-06
125;38;$51,131.00;Regular;$11,249.00;32;7.1%;$6,773.00;1;Desempleado;Otros;Casado;Maestría;811;1;2022-02
126;21;$69,220.00;Bueno;$18,370.00;22;14.2%;$2,515.00;3;Empleado;Vivienda;Divorciado;Universidad;682;1;2022-05
127;29;$60,051.00;Regular;$17,515.00;18;9.5%;$23,138.00;3;Desempleado;Emergencia;Divorciado;Maestría;554;1;2022-01
128;51;$72,691.00;Bueno;$1,882.00;30;12.7%;$31,504.00;2;Empleado;Auto;Casado;Maestría;658;1;2022-03
129;60;$73,325.00;Malo;$46,292.00;31;9.1%;$43,507.00;5;Autónomo;Vivienda;Soltero;Maestría;646;1;2022-04
130;39;$96,430.00;Malo;$3,830.00;24;7.6%;$26,887.00;2;Autónomo;Auto;Soltero;Preparatoria;638;1;2022-08
131;30;$57,087.00;Bueno;$16,385.00;25;14.2%;$34,164.00;2;Empleado;Otros;Divorciado;Preparatoria;650;1;2022-09
132;45;$24,893.00;Bueno;$22,066.00;33;14.4%;$33,452.00;1;Desempleado;Otros;Casado;Preparatoria;809;1;2022-08
133;52;$55,758.00;Regular;$17,058.00;26;12.0%;$11,291.00;3;Autónomo;Emergencia;Soltero;Universidad;583;1;2022-11
134;44;$29,113.00;Malo;$10,903.00;18;6.9%;$48,524.00;5;Autónomo;Auto;Casado;Doctorado;759;1;2022-09
135;51;$86,605.00;Bueno;$10,938.00;36;14.7%;$22,844.00;1;Autónomo;Vivienda;Casado;Maestría;545;1;2022-04
136;54;$49,032.00;Malo;$26,324.00;12;12.0%;$40,582.00;3;Desempleado;Educación;Casado;Doctorado;513;1;2022-11
137;50;$46,501.00;Regular;$28,837.00;36;10.5%;$39,987.00;3;Autónomo;Educación;Divorciado;Maestría;675;1;2022-03
138;65;$78,846.00;Bueno;$7,958.00;23;13.7%;$29,052.00;3;Desempleado;Emergencia;Divorciado;Universidad;566;1;2022-03
139;48;$84,115.00;Malo;$48,655.00;12;13.5%;$41,625.00;0;Desempleado;Otros;Divorciado;Maestría;611;1;2022-01
140;63;$31,060.00;Malo;$2,046.00;25;11.7%;$3,756.00;4;Empleado;Otros;Soltero;Preparatoria;502;1;2022-10
141;22;$61,470.00;Regular;$16,735.00;7;6.8%;$47,651.00;2;Empleado;Otros;Casado;Preparatoria;679;1;2022-11
142;18;$72,691.00;Malo;$46,616.00;32;12.0%;$25,608.00;4;Autónomo;Vivienda;Divorciado;Maestría;723;1;2022-03
143;38;$47,336.00;Bueno;$42,837.00;23;13.0%;$15,436.00;2;Desempleado;Otros;Divorciado;Doctorado;716;1;2022-12
144;50;$84,354.00;Malo;$40,060.00;21;7.7%;$46,083.00;2;Empleado;Emergencia;Soltero;Doctorado;848;1;2022-05
145;62;$71,439.00;Malo;$8,318.00;35;14.3%;$45,419.00;4;Empleado;Auto;Soltero;Maestría;535;1;2022-08
146;21;$76,342.00;Regular;$40,333.00;10;14.2%;$5,417.00;1;Autónomo;Educación;Casado;Doctorado;819;1;2022-07
147;57;$71,182.00;Regular;$49,378.00;13;14.0%;$33,651.00;5;Desempleado;Vivienda;Divorciado;Universidad;520;1;2022-01
148;60;$31,722.00;Bueno;$12,984.00;22;13.6%;$32,966.00;1;Empleado;Otros;Soltero;Maestría;771;1;2022-08
149;63;$96,800.00;Bueno;$38,958.00;32;13.6%;$5,865.00;5;Desempleado;Auto;Casado;Universidad;777;1;2022-03
150;48;$82,442.00;Regular;$17,832.00;28;6.5%;$297.00;5;Empleado;Educación;Soltero;Preparatoria;817;1;2022-09
151;35;$53,921.00;Bueno;$21,878.00;23;12.4%;$20,246.00;3;Empleado;Educación;Divorciado;Doctorado;651;1;2022-06
152;37;$37,496.00;Bueno;$18,484.00;9;5.7%;$9,550.00;4;Empleado;Vivienda;Casado;Universidad;755;1;2022-10
153;58;$57,573.00;Bueno;$47,663.00;17;7.6%;$37,340.00;5;Autónomo;Auto;Casado;Maestría;777;1;2022-10
154;45;$38,755.00;Regular;$44,788.00;9;6.0%;$24,897.00;5;Autónomo;Auto;Casado;Universidad;677;1;2022-11
155;29;$69,559.00;Bueno;$4,585.00;11;8.4%;$22,417.00;4;Autónomo;Otros;Casado;Preparatoria;713;1;2022-09
156;52;$65,461.00;Regular;$28,335.00;14;7.3%;$19,195.00;4;Empleado;Educación;Soltero;Universidad;804;1;2022-01
157;56;$47,415.00;Regular;$26,568.00;22;10.4%;$27,937.00;4;Autónomo;Vivienda;Divorciado;Maestría;825;1;2022-10
158;56;$88,318.00;Regular;$8,725.00;21;7.1%;$11,559.00;2;Empleado;Auto;Soltero;Doctorado;610;1;2022-02
159;48;$37,638.00;Regular;$12,406.00;20;8.7%;$20,167.00;4;Empleado;Educación;Soltero;Preparatoria;614;1;2022-10
160;23;$77,551.00;Regular;$48,894.00;28;10.8%;$49,057.00;2;Empleado;Auto;Casado;Doctorado;801;1;2022-01
161;39;$82,986.00;Malo;$41,150.00;34;9.6%;$47,181.00;4;Autónomo;Otros;Casado;Maestría;640;1;2022-10
162;31;$77,600.00;Regular;$5,050.00;29;10.8%;$29,222.00;5;Empleado;Vivienda;Casado;Doctorado;508;1;2022-04
163;64;$41,756.00;Malo;$29,172.00;28;10.5%;$6,945.00;3;Autónomo;Otros;Soltero;Doctorado;788;1;2022-06
164;30;$90,646.00;Regular;$22,892.00;24;6.0%;$14,112.00;0;Desempleado;Emergencia;Divorciado;Preparatoria;630;1;2022-10
165;52;$65,069.00;Regular;$10,843.00;25;8.8%;$2,422.00;3;Empleado;Educación;Casado;Universidad;652;1;2022-01
166;51;$58,434.00;Malo;$39,471.00;11;8.0%;$5,006.00;4;Desempleado;Educación;Soltero;Doctorado;539;1;2022-11
167;54;$68,161.00;Malo;$20,650.00;30;7.2%;$11,545.00;3;Autónomo;Auto;Casado;Preparatoria;785;1;2022-06
168;21;$88,251.00;Malo;$6,470.00;29;8.7%;$1,225.00;5;Desempleado;Emergencia;Casado;Doctorado;828;1;2022-06
169;43;$78,934.00;Regular;$40,192.00;26;7.4%;$44,325.00;1;Empleado;Vivienda;Divorciado;Maestría;556;1;2022-04
170;21;$23,290.00;Bueno;$44,300.00;14;7.8%;$35,118.00;0;Empleado;Otros;Divorciado;Preparatoria;666;1;2022-09
171;20;$26,604.00;Regular;$22,117.00;15;10.9%;$43,290.00;5;Desempleado;Vivienda;Soltero;Doctorado;710;1;2022-03
172;59;$43,977.00;Bueno;$28,426.00;15;7.4%;$11,304.00;2;Autónomo;Emergencia;Divorciado;Universidad;627;1;2022-03
173;45;$43,002.00;Bueno;$10,484.00;15;13.2%;$9,075.00;0;Desempleado;Emergencia;Soltero;Maestría;515;1;2022-06
174;52;$54,201.00;Bueno;$11,962.00;24;12.6%;$29,252.00;4;Desempleado;Educación;Divorciado;Doctorado;563;1;2022-10
175;49;$78,746.00;Malo;$24,037.00;17;5.2%;$11,329.00;5;Autónomo;Educación;Soltero;Doctorado;662;1;2022-09
176;35;$80,586.00;Regular;$17,855.00;20;14.1%;$7,195.00;0;Autónomo;Otros;Divorciado;Preparatoria;629;1;2022-06
177;19;$26,362.00;Bueno;$27,371.00;30;10.2%;$36,550.00;2;Desempleado;Vivienda;Soltero;Doctorado;671;1;2022-10
178;53;$75,669.00;Malo;$28,137.00;36;10.0%;$17,876.00;0;Autónomo;Otros;Divorciado;Universidad;776;1;2022-05
179;18;$58,857.00;Bueno;$19,866.00;30;14.2%;$29,757.00;5;Autónomo;Vivienda;Casado;Doctorado;544;1;2022-06
180;57;$92,223.00;Bueno;$41,498.00;16;10.6%;$330.00;3;Desempleado;Vivienda;Soltero;Universidad;505;1;2022-10
181;55;$83,029.00;Malo;$29,230.00;10;8.7%;$6,522.00;0;Autónomo;Emergencia;Casado;Doctorado;627;1;2022-11
182;21;$65,730.00;Malo;$11,338.00;32;11.8%;$907.00;2;Autónomo;Educación;Divorciado;Universidad;807;1;2022-06
183;34;$47,988.00;Regular;$49,906.00;13;13.8%;$5,418.00;4;Autónomo;Otros;Divorciado;Preparatoria;663;1;2022-02
184;35;$74,827.00;Malo;$42,699.00;29;5.3%;$13,082.00;5;Empleado;Vivienda;Soltero;Preparatoria;764;1;2022-01
185;45;$66,346.00;Malo;$17,391.00;29;7.5%;$33,416.00;5;Empleado;Vivienda;Soltero;Maestría;732;1;2022-08
186;57;$97,003.00;Regular;$7,411.00;24;9.8%;$16,710.00;0;Desempleado;Auto;Soltero;Preparatoria;545;1;2022-11
187;21;$78,621.00;Malo;$38,655.00;29;9.0%;$5,215.00;2;Autónomo;Emergencia;Soltero;Doctorado;808;1;2022-11
188;57;$49,116.00;Malo;$37,172.00;27;9.7%;$16,507.00;0;Desempleado;Educación;Casado;Doctorado;611;1;2022-05
189;27;$41,332.00;Malo;$6,173.00;10;14.0%;$37,280.00;3;Empleado;Vivienda;Casado;Universidad;682;1;2022-10
190;31;$68,614.00;Regular;$38,780.00;17;5.4%;$31,174.00;1;Desempleado;Emergencia;Casado;Preparatoria;751;1;2022-04
191;55;$74,041.00;Malo;$39,292.00;34;9.1%;$1,678.00;2;Empleado;Emergencia;Casado;Preparatoria;575;1;2022-03
192;55;$40,823.00;Regular;$46,722.00;12;9.0%;$32,056.00;0;Empleado;Auto;Soltero;Preparatoria;808;1;2022-09
193;44;$90,916.00;Malo;$3,628.00;24;9.2%;$37,397.00;2;Autónomo;Educación;Casado;Universidad;641;1;2022-04
194;56;$55,324.00;Bueno;$2,308.00;32;5.5%;$32,426.00;5;Empleado;Emergencia;Soltero;Maestría;597;1;2022-01
195;40;$89,084.00;Bueno;$5,350.00;21;13.5%;$13,657.00;3;Empleado;Emergencia;Divorciado;Preparatoria;775;1;2022-09
196;44;$56,690.00;Regular;$3,672.00;27;7.6%;$12,594.00;4;Empleado;Emergencia;Soltero;Universidad;761;1;2022-06
197;23;$83,398.00;Regular;$5,364.00;18;5.2%;$18,042.00;1;Empleado;Auto;Soltero;Maestría;774;1;2022-05
198;24;$32,888.00;Regular;$27,253.00;24;13.1%;$30,427.00;1;Desempleado;Otros;Casado;Universidad;673;1;2022-09
199;48;$87,963.00;Bueno;$6,983.00;26;6.7%;$26,727.00;2;Empleado;Emergencia;Soltero;Preparatoria;759;1;2022-02
